filename,slide_id,specimen_id,species,clade,image_type,mounting,pixel_size_um,preservation,analysis_set,sra_accession,genome_accession,notes
Process_470_green.ome.tiff,470,32470,D. fuscus,,pmount,pmount,0.12,Fixed,True,SRX20497025,GCA_032353935.1,
Process_471_green.ome.tiff,471,59842,D. fuscus,,pmount,pmount,0.12,Fixed,True,SRX20497025,GCA_032353935.1,
Process_472_green.ome.tiff,472,59842,D. fuscus,,pmount,pmount,0.12,Fixed,True,SRX20497025,GCA_032353935.1,
Process_473_green.ome.tiff,473,59842,D. fuscus,,pmount,pmount,0.12,Fixed,True,SRX20497025,GCA_032353935.1,
Process_474_green.ome.tiff,474,52825,D. gvnigeusgwotli,,pmount,pmount,0.12,Fixed,True,SRX20502827,GCA_032353775.1,
Process_475_green.ome.tiff,475,141510,D. mavrokoilius,,pmount,pmount,0.12,Fixed,True,SRX20503049,GCA_032354855.1,
Process_476_green.ome.tiff,476,32512,D. imitator,,pmount,pmount,0.12,Fixed,True,,,
Process_477_green.ome.tiff,477,222615,D. santeetlah,,pmount,pmount,0.12,Fixed,True,SRX19955089,GCA_031753655.1,
Process_478_green.ome.tiff,478,109595,D. marmoratus,,pmount,pmount,0.12,Fixed,True,SRX19954879,GCA_031753695.1,
Process_479_green.ome.tiff,479,222609,D. santeetlah,,pmount,pmount,0.12,Fixed,True,SRX19955089,GCA_031753655.1,
Process_480_green.ome.tiff,480,162037,,,pmount,pmount,0.12,Fixed,False,,,
Process_481_green.ome.tiff,481,162037,,,pmount,pmount,0.12,Fixed,False,,,
Process_482_green.ome.tiff,482,186085,,,pmount,pmount,0.12,Fixed,False,,,
Process_483_green.ome.tiff,483,141144,D. welteri,,pmount,pmount,0.12,Fixed,True,SRX19958882,GCA_030264495.1,
Process_484_green.ome.tiff,484,220831,D. wrighti,,pmount,pmount,0.12,Fixed,True,SRX19958881,GCA_030265035.1,
Process_485_green.ome.tiff,485,220830,D. wrighti,,pmount,pmount,0.12,Fixed,True,SRX19958881,GCA_030265035.1,
Process_486_green.ome.tiff,486,91572,D. orestes,,pmount,pmount,0.12,Fixed,True,SRX19952890,GCA_030264915.1,
Process_487_green.ome.tiff,487,91572,D. orestes,,pmount,pmount,0.12,Fixed,True,SRX19952890,GCA_030264915.1,
Process_488_green.ome.tiff,488,169445,D. orestes,,pmount,pmount,0.12,Fixed,True,SRX19952890,GCA_030264915.1,
Process_489_green.ome.tiff,489,146175,D. monticola,,pmount,pmount,0.12,Fixed,True,SRX19955091,GCA_031753675.1,
Process_490_green.ome.tiff,490,141811,D. organi,,pmount,pmount,0.12,Fixed,True,SRX19952929,GCA_030180145.1,
Process_491_green.ome.tiff,491,109787,D. orestes,,pmount,pmount,0.12,Fixed,True,SRX19952890,GCA_030264915.1,
Process_492_green.ome.tiff,492,169201,D. kanawha,,pmount,pmount,0.12,Fixed,True,SRX20502939,GCA_032353855.1,
Process_493_green.ome.tiff,493,169202,D. kanawha,,pmount,pmount,0.12,Fixed,True,SRX20502939,GCA_032353855.1,
Process_494_green.ome.tiff,494,169204,D. kanawha,,pmount,pmount,0.12,Fixed,True,SRX20502939,GCA_032353855.1,
Process_495_green.ome.tiff,495,201239,D. marmoratus,,pmount,pmount,0.12,Fixed,True,SRX19954879,GCA_031753695.1,
Process_496_green.ome.tiff,496,209455,D. marmoratus,,pmount,pmount,0.12,Fixed,True,SRX19954879,GCA_031753695.1,
Process_497_green.ome.tiff,497,141511,D. mavrokoilius,,pmount,pmount,0.12,Fixed,True,SRX20503049,GCA_032354855.1,
Process_498_green.ome.tiff,498,169496,D. mavrokoilius,,pmount,pmount,0.12,Fixed,True,SRX20503049,GCA_032354855.1,
Process_499_green.ome.tiff,499,52805,D. monticola,,pmount,pmount,0.12,Fixed,True,SRX19955091,GCA_031753675.1,
